http://inside.reynolds.edu/inside_lrc/sample/css/bootstrap.css,,http://inside.reynolds.edu/inside_lrc/sample/css/bootstrap-responsive.min.css,,http://inside.reynolds.edu/inside_lrc/sample/css/bootstrap-responsive.css,,http://inside.reynolds.edu/inside_lrc/sample/jQueryAssets/jquery.ui.core.min.css,,http://inside.reynolds.edu/inside_lrc/sample/jQueryAssets/jquery.ui.tabs.min.css,
464 unused selectors,,295 unused selectors,,No unused selectors!,,No unused selectors!,,16 unused selectors,
,,,,,,,,,
.clearfix:before,12,.hidden-desktop,1,,,,,.ui-tabs .ui-tabs-nav li.ui-state-disabled a,47
.clearfix:after,12,.visible-desktop,1,,,,,.ui-tabs .ui-tabs-nav li.ui-tabs-loading a,47
.clearfix:after,19,.visible-tablet,1,,,,,.ui-tabs-collapsible .ui-tabs-nav li.ui-tabs-active a,47
.hide-text,23,.hidden-tablet,1,,,,,.row .span8 #Tabs1 .ui-tabs-nav.ui-helper-clearfix.ui-widget-header .ui-state-default.ui-corner-top a:hover,61
.input-block-level,31,.hidden-desktop,1,,,,,#qpchatwidget,69
audio:not([controls]),70,.visible-desktop,1,,,,,.yui-navset .yui-content,75
#map_canvas img,112,.visible-phone,1,,,,,Navigation Centering .yui-navset .yui-nav li,79
.google-maps img,112,.hidden-phone,1,,,,,.yui-navset .yui-navset-top .yui-nav li,79
abbr[title]:after,148,.visible-print,1,,,,,.yui-navset .yui-navset-bottom .yui-nav li,79
.ir a:after,151,.visible-print,1,,,,,.ui-helper-hidden,117
"a[href^=""javascript:""]:after",151,.hidden-print,1,,,,,.ui-helper-hidden-accessible,117
.img-rounded,212,.row,1,,,,,.ui-helper-zfix,120
.img-circle,220,.row:before,1,,,,,.ui-state-disabled,120
.row,226,.row:after,1,,,,,.ui-icon,120
.row:before,233,.row:after,1,,,,,.ui-widget-overlay,120
.row:after,233,.container,1,,,,,.roundedcorners,122
.row:after,240,.navbar-static-top .container,1,,,,,,
.span12,251,.navbar-fixed-top .container,1,,,,,,
.span11,257,.navbar-fixed-bottom .container,1,,,,,,
.span10,261,.span12,1,,,,,,
.span9,265,.span11,1,,,,,,
.span5,288,.span10,1,,,,,,
.span1,307,.span9,1,,,,,,
.offset12,311,.span6,1,,,,,,
.offset11,315,.span5,1,,,,,,
.offset10,319,.span4,1,,,,,,
.offset9,323,.span1,1,,,,,,
.offset8,327,.offset12,1,,,,,,
.offset7,331,.offset11,1,,,,,,
.offset6,335,.offset10,1,,,,,,
.offset5,339,.offset9,1,,,,,,
.offset4,343,.offset8,1,,,,,,
.offset3,347,.offset7,1,,,,,,
.offset2,351,.offset6,1,,,,,,
".row-fluid .controls-row [class*=""span""] + [class*=""span""]",399,.offset5,1,,,,,,
.row-fluid .span12,403,.offset4,1,,,,,,
.row-fluid .span11,408,.offset3,1,,,,,,
.row-fluid .span10,413,.offset2,1,,,,,,
.row-fluid .span9,418,.row-fluid,1,,,,,,
.row-fluid .span8,423,.row-fluid:before,1,,,,,,
.row-fluid .span7,428,.row-fluid:after,1,,,,,,
.row-fluid .span5,438,.row-fluid:after,1,,,,,,
.row-fluid .span1,458,".row-fluid [class*=""span""]",1,,,,,,
.row-fluid .offset12,463,".row-fluid [class*=""span""]:first-child",1,,,,,,
.row-fluid .offset12:first-child,468,".row-fluid .controls-row [class*=""span""] + [class*=""span""]",1,,,,,,
.row-fluid .offset11,473,.row-fluid .span12,1,,,,,,
.row-fluid .offset11:first-child,478,.row-fluid .span11,1,,,,,,
.row-fluid .offset10,483,.row-fluid .span10,1,,,,,,
.row-fluid .offset10:first-child,488,.row-fluid .span9,1,,,,,,
.row-fluid .offset9,493,.row-fluid .span8,1,,,,,,
.row-fluid .offset9:first-child,498,.row-fluid .span7,1,,,,,,
.row-fluid .offset8,503,.row-fluid .span6,1,,,,,,
